Country Code,Change,Description of Change,Date Issued,Source
HT,Subdivisions added: HT-NI Nippes.,Second edition of ISO 3166-2 (this change was not announced in a newsletter) - 'Statoid Newsletter January 2008' - http://www.statoids.com/n0801.html.,2007-12-13,ISO 3166-2:2007 - http://www.iso.org/iso/iso_catalogue/catalogue_tc/catalogue_detail.htm?csnumber=39718.
HU,Subdivision renamed: HU-CS Csongrád -> Csongrád-Csanád.,Change of name of HU-CS; Update List Source.,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ET.
HU,Change of spelling of category name in eng; update List Source.,,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HU.
HU,Change the full name.,,2012-02-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:HU.
HU,Subdivisions added: HU-ER Érd.,Update of the administrative structure and of the list source.,2010-06-30,Newsletter II-2 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-2_2010-06-30.pdf.
ID,Subdivisions added: ID-PB Papua Barat.,"Addition of the country code prefix as the first code element, alphabetical re-ordering, administrative update.",2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
ID,Subdivisions added: ID-BB Bangka Belitung. ID-BT Banten. ID-GO Gorontalo. ID-MU Maluku Utara. Subdivisions deleted: ID-TT Timor Timur (see ISO 3166-2:TL). Codes: (to correct duplicate use). ID-IJ Irian Jaya (province) -> ID-PA Papua.,"Addition of four new provinces and deletion of one (ID-TT). Inclusion of one alternative name form and one changed province name (ID-PA, formerly ID-IJ).",2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
ID,Change of name of one geographical unit.,,2002-12-10,Newsletter I-4 - https://web.archive.org/web/20081218103210/http://www.iso.org/iso/iso_3166-2_newsletter_i-4_en.pdf.
ID,Subdivisions added: ID-KR Kepulauan Riau.,Move 'Aceh' to a new category of 'autonomous province'. Addition of a new province 'Kepulauan Riau'.,2004-03-08,Newsletter I-6 - https://web.archive.org/web/20120112041245/http://www.iso.org/iso/iso_3166-2_newsletter_i-6_en.pdf.
ID,Subdivisions added: ID-SR Sulawesi Barat.,Addition of a new province 'Sulawesi Barat'.,2005-09-13,Newsletter I-7 - https://web.archive.org/web/20081218103217/http://www.iso.org/iso/iso_3166-2_newsletter_i-7_en.pdf.
ID,Add province ID-KU; change code for Papua formerly ID-IJ; update List Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,Codes: Maluku (geographical unit) ID-MA -> ID-ML.,Removal of duplicate code.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
ID,"Addition of local variation of ID-JK, ID-YO; change of spelling of ID-BB, update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,Change of spelling of category name in eng/fra from special district to capital district (ID-JK); change of category name from autonomous province to province for ID-AC; deletion of category autonomous province (eng) / province autonome (fra) / nanggroe (ind); update List Source.,,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,Correction of the Code Source.,,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,"Addition of provinces ID-PE, ID-PS and ID-PT; Update List Source.",,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,Addition of province ID-PD; Update List Source.,,2023-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
ID,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:ID.
IE,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IE.
IE,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IE.
IE,Codes: Cork IE-C -> IE-CO.,Removal of duplicate code.,2011-12-13 (corrected 2011-12-15),Newsletter II-3 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-3_2011-12-13.pdf.
IE,Addition of the country code prefix as the first code element.,,2010-02-03 (corrected 2010-02-19),Newsletter II-1 - https://www.iso.org/files/live/sites/isoorg/files/archive/pdf/en/iso_3166-2_newsletter_ii-1_corrected_2010-02-19.pdf.
IL,Update List Source.,,2014-11-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IL.
IL,"Change romanization system from 'BGN/PCGN (ara)' to 'BGN/PCGN 1956'; change romanization system from 'Israeli national romanization 1957, updated to 2006 (he)' to ' Israeli national romanization 1957, updated to 2006'; addition of local variation of IL-JM, IL-M, IL-D, IL-Z, IL-HA, IL-TA; change of spelling of IL-M, IL-D, IL-Z, IL-HA, IL-TA in heb.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IL.
IL,Update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IL.
IL,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IL.
IL,Correction of the local variation of IL-Z.,,2018-04-20,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IL.
IM,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IM.
IM,Addition of a new entry (in accordance with ISO 3166-1 Newsletter V-11).,,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
IN,IN-CH Chhattīsgarh. IN-JH Jhārkhand. IN-UL Uttarānchal; IN-WB West Bengal → IN-WB West Bengal/Banga; As per the Indian system of transliteration; ISO 3166 Maintenance Agency.,Partial reorganization of subdivision layout with the addition of three new states; Addition of an alternative name for one state; Spelling corrections; New list source.,2002-05-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,IN-DH Dadra and Nagar Haveli and IN-DD Diu and Daman; Addition of Indian system of transliteration.,Deletion of Union territory; Addition of Union territory; Correction of spelling; Update list source and correction of the code source.,2024-11-11,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,"Change of subdivision code from IN-OR to IN-OD, from IN-CT to IN-CG, from IN-TG to IN-TS, from IN-UT to IN-UK; Deletion of the asterisk from IN-JH; Update Code Source.",,2023-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,"Deletion of Union territory IN-DD, IN-DN; Addition of Union territory IN-DH; Correction of spelling for IN-AR, IN-BR, IN-CH, IN-CT, IN-DH, IN-GJ, IN-HP, IN-HR, IN-JH, IN-JK, IN-KA, IN-LA, IN-MH, IN-ML, IN-NL, IN-RJ, IN-TG, IN-TN, IN-UT; Addition of romanization system 'Indian System of Transliteration'; Update List Source; Correction of the Code Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,Change of subdivision category from state to Union territory for IN-JK; Addition of Union territory IN-LA; Update List Source.,,2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,Add 1 state IN-TG; change spelling of IN-OR; update List Source and Code Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,"Addition of local generic administrative terms, update of the official languages according to ISO 3166-2, addition of a comment and source list update.",,2011-12-13,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,IN-WB West Bengal/Banga → IN-WB West Bengal.,Error correction: Reintroduction of old name form in IN-WB.,2002-12-10,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IN,IN-RJ Rajasthan → IN-RJ Rājasthān; IN-CH Chhattīsgarh → IN-CT Chhattīsgarh.,Spelling correction; Error correction: Duplicate use of IN-CH corrected.,2002-08-20,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IN.
IO,Modification of remark part 2. (Remark part 2: No subdivisions relevant for this standard).,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IO.
IQ,Change subdivision code from IQ-TS to IQ-KI; update List Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IQ.
IQ,Typographical correction of IQ-KA; update List Source.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IQ.
IQ,"Addition of the alpha 2 and alpha 3 administrative language codes ku, kur.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IQ.
IQ,"Addition of romanization system BGN/PCGN 2007 (kur); addition of the remark; addition of governorate IQ-SU, IQ-DA, IQ-AR in kur, update list source.",,2016-11-15,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IQ.
IQ,"Addition of category region in eng, fra, ara, kur; Addition of region IQ-KR; Assign parent subdivision to IQ-AR, IQ-DA, IQ-SU; Update List and Code Source.",,2022-03-03,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IQ.
IR,Change of short name upper case: replace the parentheses with a comma.,,2024-02-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,"Change of subdivision code from IR-01 to IR-03, IR-02 to IR-04, IR-03 to IR-24, IR-04 to IR-10, IR-05 to IR-16, IR-06 to IR-18, IR-07 to IR-23, IR-08 to IR-14, IR-10 to IR-06, IR-11 to IR-19, IR-12 to IR-20, IR-13 to IR-11, IR-14 to IR-07, IR-15 to IR-08, IR-16 to IR-12, IR-17 to IR-05, IR-18 to IR-17, IR-19 to IR-01, IR-20 to IR-15, IR-21 to IR-02, IR-22 to IR-00, IR-23 to IR-22, IR-24 to IR-13, IR-25 to IR-21, IR-26 to IR-25, IR-28 to IR-26, IR-30 to IR-09, IR-31 to IR-28, IR-32 to IR-30; Update Code Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,Correction of the romanization system label.,,2018-11-26,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,"Change of subdivision name for IR-08, IR-18, IR-29, IR-30, IR-31; update List Source.",,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,Alignment of the English short name upper and lower case with UNTERM.,,2014-12-18,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,Add 1 province IR-32; update List Source.,,2014-10-30,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IR.
IR,Subdivisions added: IR-29 Khorāsān-e Janūbī. IR-30 Khorāsān-e Razavī. IR-31 Khorāsān-e Shemālī. Subdivisions deleted: IR-09 Khorāsān.,Modification of the administrative structure.,2007-04-17,Newsletter I-8 - https://web.archive.org/web/20081218103230/http://www.iso.org/iso/iso_3166-2_newsletter_i-8_en.pdf.
IR,Subdivisions added: IR-27 Golestān. IR-28 Qazvīn.,Partial reorganization of subdivision layout. Two new provinces. Two name corrections (IR-17 and IR-18). New reference for the list source.,2002-05-21,Newsletter I-2 - https://web.archive.org/web/20120131102127/http://www.iso.org/iso/iso_3166-2_newsletter_i-2_en.pdf.
IS,Deletion of region IS-0.,,2015-11-27,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IS,Change of spelling of IS-1; update List Source.,,2017-11-23,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IS,"Addition of category municipality; Addition of municipality IS-AKH, IS-AKN, IS-AKU, IS-ARN, IS-ASA, IS-BFJ, IS-BLA, IS-BLO, IS-BOG, IS-BOL, IS-DAB, IS-DAV, IS-DJU, IS-EOM, IS-EYF, IS-FJD, IS-FJL, IS-FLA, IS-FLD, IS-FLR, IS-GAR, IS-GOG, IS-GRN, IS-GRU, IS-GRY, IS-HAF, IS-HEL, IS-HRG, IS-HRU, IS-HUT, IS-HUV, IS-HVA, IS-HVE, IS-ISA, IS-KAL, IS-KJO, IS-KOP, IS-LAN, IS-MOS, IS-MYR, IS-NOR, IS-RGE, IS-RGY, IS-RHH, IS-RHN, IS-RKV, IS-SBH, IS-SBT, IS-SDN, IS-SDV, IS-SEL, IS-SEY, IS-SFA, IS-SHF, IS-SKF, IS-SKG, IS-SKO, IS-SKU, IS-SNF, IS-SOG, IS-SOL, IS-SSF, IS-SSS, IS-STR, IS-STY, IS-SVG, IS-TAL, IS-THG, IS-TJO, IS-VEM, IS-VER, IS-VOP; Update List Source; Update Code Source.",,2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IS,"Deletion of municipality IS-BFJ, IS-DJU, IS-FLD, IS-SEY; Addition of municipality IS-MUL; Update List Source.",,2021-11-25,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IS,Change of the full name.,,2022-11-21,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IS,"Deletion of municipality IS-AKH, IS-BLO, IS-HEL, IS-HUT, IS-SBH, IS-SKU, IS-SSF; Addition of municipality IS-HUG, IS-SKR.",,2022-11-29,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IS.
IT,Code changes: IT-SD -> IT-SU Sud Sardegna. Subdivisions added: IT-GO Gorizia. IT-PN Pordenone. IT-TS Trieste. IT-UD Udine.,"Correction of subdivision code from IT-SD to IT-SU; Addition of category decentralized regional entity; addition of decentralized regional entity IT-GO, IT-PN, IT-TS, IT-UD; Update List Source.",2020-11-24,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IT.
IT,"Name changes: IT-36 Friuli-Venezia Giulia -> Friuli Venezia Giulia. free communal consortia -> free municipal consortium. Subdivisions deleted: IT-AO Aosta. Category changes: IT-23, IT-32, IT-36, IT-82, IT-88: region -> autonomous region. IT-BZ, IT-TN: province -> autonomous province.","Change of spelling of IT-36; Deletion of province IT-AO; Change of spelling of category name in eng from free communal consortia to free municipal consortium; Change of spelling of category name in ita from libero consorzion communale [sic] to libero consorzio comunale; Change of spelling of category name in ita from città metropolitan to città metropolitana; Addition of category name autonomous region and autonomous province; Change of category name from region to autonomous region for IT-23, IT-32, IT-36, IT-82, IT-88; Change of category name from province to autonomous province for IT-BZ, IT-TN; Update List Source.",2019-11-22,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IT.
IT,"Subdivisions deleted: 8 provinces . Subdivisions added: IT-SD Sud Sardegna. Category changes: IT-AG, IT-CL, IT-EN, IT-RG, IT-SR, IT-TP: province -> free communal consortia. IT-BA, IT-BO, IT-CA, IT-CT, IT-FI, IT-GE, IT-ME, IT-MI, IT-NA, IT-PA, IT-RC, IT-RM, IT-TO, IT-VE: province -> metropolitan city.","Addition of province IT-SD; Addition of category names free communal consortia and metropolitan cities in eng, fra and ita; Change of category name from province to free communal consortia for IT-AG, IT-CL, IT-EN, IT-RG, IT-SR, IT-TP; Change of category name from province to metropolitan city for IT-BA, IT-BO, IT-CA, IT-CT, IT-FI, IT-GE, IT-ME, IT-MI, IT-NA, IT-PA, IT-RC, IT-RM, IT-TO, IT-VE; Deletion of provinces IT-CI, IT-GO, IT-OG, IT-OT, IT-PN, IT-TS, IT-UD, IT-VS; Update List Source.",2019-04-09,Online Browsing Platform (OBP) - https://www.iso.org/obp/ui/#iso:code:3166:IT.
